Feed,Publish_DT,Title,Summary,Author,Link
Entertainment and Arts,2022-01-13 06:04:00,Wooden Roman figure found at Twyford during HS2 dig,"Experts say a waterlogged ditch helped preserve the ""extremely rare"" item over the centuries.", ,https://www.bbc.co.uk/news/uk-england-beds-bucks-herts-59972275?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-13 06:08:00,KFC faces boycott in China over meal toy promotion,"KFC launched the promotion last week with Pop Mart, a Chinese toy maker known for its mystery boxes.", ,https://www.bbc.co.uk/news/business-59976598?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 06:09:00,Scottish politics in 2022 - five things to watch,"With Holyrood back in session for the new year, what are the big issues facing Scottish politics?", ,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-59754427?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2022-01-13 07:21:00,'Chemical cocktail’ polluting English rivers - MPs warn,Tyres and wet wipes are soiling rivers but the biggest polluters are farms and water companies., ,https://www.bbc.co.uk/news/science-environment-59955624?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 07:50:00,Boris Johnson party apology reaction: 'They should stick to the rules like us',People in Wolverhampton react to the prime minister's apology over lockdown party at No 10., ,https://www.bbc.co.uk/news/uk-59977564?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 08:29:00,Djokovic in Australian Open draw as decision looms with Raducanu set to face Stephens,Novak Djokovic remains in the Australian Open draw as the decision over whether the defending champion can stay in the country drags on., ,https://www.bbc.co.uk/sport/tennis/59976588?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 09:01:00,Boris Johnson party apology wasn't sincere - bereaved daughter,"Hannah Brady, who lost her father Shaun to Covid in May 2020, says PM's party apology is insincere.", ,https://www.bbc.co.uk/news/uk-59977565?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 09:23:00,Boris Johnson: Senior Tories urge PM to quit after party apology,Cabinet members are rallying round Boris Johnson - but other top Tories say he has to stand down., ,https://www.bbc.co.uk/news/uk-politics-59972859?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-13 09:31:00,Christmas sales soar for Marks & Spencer and Tesco,M&amp;S's food business records its best-ever festive sales while Tesco boasted of 'exceptional' demand., ,https://www.bbc.co.uk/news/business-59977154?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 09:32:00,Jacob Rees-Mogg: 'Douglas Ross has always been quite a lightweight',The leader of the House of Commons reacts to the Scottish Conservative leader's calls for the PM to go., ,https://www.bbc.co.uk/news/uk-politics-59979003?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 10:07:00,Middlesbrough man jailed for cutting police officer's throat,Aaron Gray is sentenced to five years for attacking the officer during an arrest in Middlesbrough., ,https://www.bbc.co.uk/news/uk-england-tees-59973766?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 10:09:00,Canada: Unvaccinated father loses right to see his child,The father is not allowed to see the 12-year-old until next month - unless he gets vaccinated., ,https://www.bbc.co.uk/news/world-us-canada-59979408?at_medium=RSS&at_campaign=KARANGA
Entertainment and Arts,2022-01-13 10:13:00,Rust: Armourer on Alec Baldwin film sues prop supplier over ammunition supply,Hannah Gutierrez-Reed seeks unspecified damages from ammunition supplier Seth Kenney and his company., ,https://www.bbc.co.uk/news/entertainment-arts-59978682?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 10:19:00,Australia equals hottest day on record at 50.7C,"Osnlow in Western Australia recorded 50.7C on Thursday, equalling a record set in 1962.", ,https://www.bbc.co.uk/news/world-australia-59977193?at_medium=RSS&at_campaign=KARANGA
Entertainment and Arts,2022-01-13 10:22:00,Ronnie Spector: Be My Baby singer of The Ronettes dies at 78,The pop super star was the lead singer of the 1960 pioneering all-girl group the Ronettes., ,https://www.bbc.co.uk/news/world-us-canada-59975272?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 10:31:00,Boris Johnson cancels Lancashire visit as Covid precaution,The prime minister limits contacts with others after a family member tests positive for coronavirus., ,https://www.bbc.co.uk/news/uk-politics-59979118?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 10:35:00,Morocco sex for grades: Hassan I University lecturer jailed,The professor is sentenced to two years in prison after being convicted of indecent behaviour., ,https://www.bbc.co.uk/news/world-africa-59970326?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2022-01-13 10:46:00,Water pollution: How clean are the UK's rivers and lakes?,"England's rivers are contaminated by a ""chemical cocktail"" of pollution- what's being done to tackle the issue?", ,https://www.bbc.co.uk/news/science-environment-59898988?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 10:58:00,Shrewsbury MP Daniel Kawczynski faces Commons suspension,"Daniel Kawczynski caused ""significant damage"" in identifying those who alleged he harassed them.", ,https://www.bbc.co.uk/news/uk-england-shropshire-59979608?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 10:59:00,Lucas Digne joins Aston Villa from Everton in £25m deal,French left-back Lucas Digne has joined Aston Villa from Everton a deal worth up to £25m., ,https://www.bbc.co.uk/sport/football/59977639?at_medium=RSS&at_campaign=KARANGA
